Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Library Name,BioSampleModel,geo_loc_name,lat_lon,HOST,host_sex,env_broad_scale,env_local_scale,env_medium,Host_Age,host_subject_id,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),project_name,host_taxid,scientific_name,samp_mat_process,Host_Diet,INSDC_center_name,INSDC_status,Sample_name,Submitter_Id,external_id,INSDC_last_update,host_body_product,isolation_source,host_tissue_sampled,isolate,host_life_stage,host_body_site,broad-scale_environmental_context,environmental_medium,local_environmental_context,Sequencing_method,ENA_first_public,host_body_habitat,host_common_name,environment_(biome),environment_(feature),environment_(material),host-associated_environmental_package,INSDC_first_public,investigation_type,organism,host_phenotype,source_material_id,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,subspecific_genetic_lineage,env_biome,env_feature,env_material,perturbation,Description,samp_store_dur,samp_store_temp,samp_vol_we_dna_ext,sample_title,seq_methods,Negative_control_1,Negative_control_2,positive_control,steer_id,replicate,samp_collect_device,experiment,JMF_sample_ID,User_sample_ID,Time_point_h,treatment,SAMPLING_TIME,Depth,Environment_Feature,Environment_material,altitude,chem_administration,samp_size,strain,temp,Cow,MiCowTrTiSeq,TimePostFeeding,treat,rel_to_oxygen,elev,Host_disease,gravidity,host_blood_press_diast,host_blood_press_syst,host_body_temp,host_color,host_dry_mass,host_family_relationship,host_genotype,host_growth_cond,host_height,host_infra_specific_name,host_infra_specific_rank,host_last_meal,host_length,host_shape,host_substrate,host_tot_mass,misc_param,organism_count,oxy_stat_samp,samp_salinity,samp_store_loc,Cultivar,Ecotype,common_name,nucleic_acid_extraction,ENA_last_update,INSDC_center_alias,age,BREED,collected_by
SRR094428,WGS,152,22847334624,PRJNA60251,SAMN00149621,10468628596,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034812,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T18:32:00Z,2,,,,ins_5k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094429,WGS,36,3121962624,PRJNA60251,SAMN00149621,1333479462,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX035182,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:42:00Z,2,,,,ins_200_hiseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094437,WGS,202,87947664354,PRJNA60251,SAMN00149621,44660664909,DOE JGI,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX035182,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,fiber_attached,SRP004875,2015-07-22T21:59:00Z,4,,,,ins_200_hiseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094926,WGS,202,100274946250,PRJNA60251,SAMN00149621,48886310424,DOE JGI,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX035182,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-04-18T00:00:00Z,fiber_attached,SRP004875,2015-06-27T17:48:00Z,3,,,,ins_200_hiseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220181,WGS,300,20357159400,PRJEB31266,SAMEA5383840,9108697982,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247644,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383840,ERP113798,2019-03-24T23:53:00Z,1,not collected,United Kingdom,Europe,10675_0004,,,,,male,,,,573 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0004,10675_0004,SAMEA5383840,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220182,WGS,300,21684131700,PRJEB31266,SAMEA5383841,9631552996,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247645,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383841,ERP113798,2019-03-25T02:05:00Z,1,not collected,United Kingdom,Europe,10675_0005,,,,,male,,,,569 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0005,10675_0005,SAMEA5383841,2019-05-31T10:58:56Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:56Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220183,WGS,300,19840293900,PRJEB31266,SAMEA5383842,8815862904,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247646,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383842,ERP113798,2019-03-25T01:59:00Z,1,not collected,United Kingdom,Europe,10675_0006,,,,,male,,,,594 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0006,10675_0006,SAMEA5383842,2019-05-31T10:58:58Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:58Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220185,WGS,300,21117109800,PRJEB31266,SAMEA5383844,9422961434,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247648,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383844,ERP113798,2019-03-25T04:47:00Z,1,not collected,United Kingdom,Europe,10675_0008,,,,,male,,,,573 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0008,10675_0008,SAMEA5383844,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220187,WGS,300,24623897100,PRJEB31266,SAMEA5383846,10911840182,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247650,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383846,ERP113798,2019-03-25T06:26:00Z,1,not collected,United Kingdom,Europe,10675_0010,,,,,male,,,,572 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0010,10675_0010,SAMEA5383846,2019-05-31T10:58:56Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:56Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220195,WGS,300,24460698900,PRJEB31266,SAMEA5383854,10525456494,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247658,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383854,ERP113798,2019-03-25T12:50:00Z,1,not collected,United Kingdom,Europe,10675_0018,,,,,male,,,,576 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0018,10675_0018,SAMEA5383854,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220200,WGS,300,21954553800,PRJEB31266,SAMEA5383859,9441721152,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247663,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383859,ERP113798,2019-03-25T14:37:00Z,1,not collected,United Kingdom,Europe,10675_0023,,,,,male,,,,562 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0023,10675_0023,SAMEA5383859,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,LIMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220201,WGS,300,22906633800,PRJEB31266,SAMEA5383860,9800680219,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247664,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383860,ERP113798,2019-03-25T14:44:00Z,1,not collected,United Kingdom,Europe,10675_0024,,,,,male,,,,566 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0024,10675_0024,SAMEA5383860,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,LIMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220209,WGS,300,19466956800,PRJEB31266,SAMEA5383868,8775321986,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247672,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383868,ERP113798,2019-03-25T15:28:00Z,1,not collected,United Kingdom,Europe,10675_0032,,,,,male,,,,567 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0032,10675_0032,SAMEA5383868,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,LIMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220210,WGS,300,19499100300,PRJEB31266,SAMEA5383869,8610940173,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247673,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383869,ERP113798,2019-03-25T15:53:00Z,1,not collected,United Kingdom,Europe,10675_0033,,,,,male,,,,543 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0033,10675_0033,SAMEA5383869,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,LIMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220213,WGS,300,18060357600,PRJEB31266,SAMEA5383872,8006877016,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247676,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383872,ERP113798,2019-04-04T23:36:00Z,1,not collected,United Kingdom,Europe,10675_0036,,,,,male,,,,551 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0036,10675_0036,SAMEA5383872,2019-05-31T10:58:57Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:57Z,AAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3220215,WGS,300,20185749300,PRJEB31266,SAMEA5383874,8871514054,THE ROSLIN INSTITUTE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",ERX3247678,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2019-03-21T00:00:00Z,SAMEA5383874,ERP113798,2019-04-04T23:49:00Z,1,not collected,United Kingdom,Europe,10675_0038,,,,,male,,,,552 days,,2019-03-14,2019-03-14,United Kingdom,55.861398,-3.206493,Metagenomic sequencing of the rumen of 240 cattle from Scotland,9913,bovine gut metagenome,,,THE ROSLIN INSTITUTE,public,10675_0038,10675_0038,SAMEA5383874,2019-05-31T10:58:58Z,rumen fluid,,,,,rumen,,,,Illumina HiSeq 4000,,gut,cow,Bos taurus,stomach,bodily fluid,host-associated,2019-03-14T17:02:48Z,metagenome,,,,2019-03-14T17:02:48Z,2019-05-31T10:58:58Z,LIMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
